Title,Time,Category,Link,Claim,Investigation,SourcesLinks
لا، لم تحظر اليابان لقاحات كوفيد 19، ولا صحة لهذه الادعاءات المتداولة حول زيادة معدل الوفيات بسبب اللقاح,2024-04-12T01:59:53+03:00,زائف,https://fatabyyano.net/371617829383-2/,#عاجل_الان: اليابان تحظر لقاحات كورونا بعد زيادة الوفيات… اللقاح تسبب في الكثير من الوفيات الآن اليابان تواجه انهيارًا سكانيًا حيث يموت عدد أكبر من المواطنين أكثر من عدد الذين يولدون… تحذر بقية الدول,,
هذه الصورة تعود لاستعراض عسكري في كوريا الشمالية عام 2017 وليست للقوات المسلحة الإيرانية,2024-04-12T01:59:53+03:00,زائف,https://fatabyyano.net/هذه-الصورة-تعود-لاستعراض-عسكري-في-كوري/,,,"['https://www.france24.com/ar/برامج/ضيف-اليوم/20240402-إيران-تتوعّد-بـ-معاقبة-إسرائيل-على-استهداف-قنصليتها-في-دمشق-كيف-سيكون-الرد', 'https://edition.cnn.com/2017/04/25/asia/north-korea-artillery-drill/', 'https://en.yna.co.kr/view/PYH20170426078100341?section=search', 'https://www.alamy.com/file-this-image-made-from-video-of-a-still-image-broadcast-in-a-news-bulletin-by-north-koreas-krt-on-april-26-2017-shows-what-was-said-to-be-a-combined-fire-demonstration-held-to-celebrate-the-85th-anniversary-of-the-north-korean-army-in-wonsan-north-korea-north-korea-is-apparently-moving-to-sell-millions-of-rockets-and-artillery-shells-many-of-them-likely-from-old-stock-to-its-cold-war-ally-russia-us-officials-say-it-shows-russias-desperation-with-the-war-in-ukraine-and-that-moscow-could-buy-additional-military-hardware-from-north-korea-russia-has-called-a-us-intelligence-image527663454.html?utm_source=77643&utm_campaign=Shop%20Royalty%20Free%20at%20Alamy&utm_medium=impact&irgwc=1', 'https://www.abc.net.au/news/2017-08-12/north-korea-war-would-be-bloody-ugly-former-army-chief-warns/8800438']"
هذه الصورة لا تظهر تنبؤ مسلسل سيمبسون بحادثة انهيار جسر بالتيمور ولم تعرض في أي من حلقات المسلسل,2024-04-12T01:59:53+03:00,زائف,https://fatabyyano.net/هذه-الصورة-لا-تظهر-تنبؤ-مسلسل-سيمبسون-2/,‏هل تنبأ مسلسل عائلة سيمبسون بحادث انهيار جسر بالتيمور ؟! يبدو أن سيمبسونز لا يفوت حدثا من الأحداث الكبرى إلا ويخبر عنها قبل حدوثها. سيمبسون لا يتوقع أحداث بل يخبر عن مخططات.,"هذه الصورة المتداولة لم تعرض في أي من حلقات مسلسل سيمبسون ولا تظهر تنبؤ المسلسل بحادثة انهيار جسر “فرانسيس سكوت كي” في التيمور
انهار جسر “فرانسيس سكوت كي” بمدينة بالتيمور في ولاية ماريلاند الأمريكية في ساعة مبكرة الثلاثاء 26 مارس 2024، وجرف في سقوطه سيارات ونحو 20 شخصا في الماء. وعلى إثرها، أعلن حاكم الولاية ويس مور حالة الطوارئ.
في أعقاب ذلك، تناقل ناشطون على فيسبوك صورة يدعون أنها اقتبست من إحدى حلقات مسلسل سيمبسون الشهير، وتبين أن المسلسل تنبأ بهذه الحادثة قبل وقوعها بسنوات،
إلا أن التحري الذي أجراه فريق فتبينوا كشف أن الادعاء غير صحيح،
من خلال البحث العكسي عن الصورة عبر محركات البحث المختلفة، تبين أن الصورة لا علاقة لها بمسلسل سيمبسون،
إذ لم يرصد فريق فتبينوا أي وجود لها على الإنترنت قبل حادثة انهيار الجسر في بالتيمور،
وبالتدقيق في عناصر الصورة المتداولة، يمكن ملاحظة عدة عناصر تبيّن أنها ليست من المسلسل فعليا،
مثل اختلاف الألوان ودقة الصورة عن مشاهد السلسلة الفعلية، كما يلاحظ في الصورة أن شخصية ليزا سيمبسون لديها 10 خصلات بارزة في شعرها،
بينما نراها في حلقات المسلسل تملك دائما ثمانية منها فقط!


صورة لشخصية ليزا سيمبسون من إحدى حلقات السلسلة مقارنة مع صورة الادعاء

وبالمثل، يبدو شعر شخصية هومر سيمبسون أكثر حدة بشكل ملحوظ في صورة الادعاء عن مظهر شعره في مشاهد السلسلة،


مقارنة شكل شخصية هومر سيمبسون الظاهرة في صورة الادعاء مع صورة للشخصية من إحدى حلقات السلسلة

علاوة على ذلك، شارك Matt Selman، أحد منتجي مسلسل سيمبسون الصورة عبر حسابه الرسمي على منصة إكس،
في سياق توضيح أن الادعاء غير صحيح، وأن هذه الصورة المتداولة ليست من مسلسل سيمبسون ولم تعرض في أي من حلقات السلسلة.

Sadly #TheSimpsons ""predictions"" are now meaningless. People so desperately want to believe in the show's ""magic powers"" (or are just very lazy) that they ignore that obviously fake images of the so-called predictions cannot be traced to any actual episode — like this nonsense: pic.twitter.com/UOfvR1ZN4I
— Matt Selman (@mattselman) March 29, 2024


هذا وكشف تحليل الصورة عبر أداة Hive AI detector المخصصة لفحص الصور المولدة بواسطة الذكاء الاصطناعي
أن احتمالية أن تكون هذه الصورة مولدة بواسطة الذكاء الاصطناعي هي %99.9.

جدير بالذكر أن فريق فتبينوا سبق وتحقق من العديد من الادعاءات الخاطئة التي تزعم أن مسلسل سيمبسون تنبأ بأحداث مختلفة، يمكن الاطلاع عليها هنـا.
تقييم فتبينوا: بناء على ما سبق، قررت منصة فتبينوا تصنيف الادعاء على أنه زائف، لأنه استخدم صورة مولدة باستخدام الذكاء الاصطناعي ونسبها إلى مسلسل سيمبسون من أجل ترويج خبر غير صحيح.",
قبطان السفينة التي تسببت بانهيار جسر “فرانسيس سكوت كي” في بالتيمور كان هنديًّا وليس أوكرانيًّا,2024-04-12T01:59:53+03:00,زائف,https://fatabyyano.net/ربان-السفينة-دالي-التي-اصطدمت-بجسر-فر/,"عاجل –
تبين أن قبطان السفينة التي اصطدمت بالجسر في #بالتيمور هو #أوكراني.",,"['https://www.balticshipping.com/vessel/imo/9697428/seafarers', 'https://www.synergymarinegroup.com/dali-imo-9697428/#:~:text=Vessel%20Information%3A,Baltimore%20to%20Colombo']"
هذا المقطع متداول منذ عام 2014 على الأقل، ولا يظهر منصات صواريخ نصبها الجيش السوداني قرب ولاية الجزيرة مؤخرًا,2024-04-12T01:59:53+03:00,زائف,https://fatabyyano.net/هذا-المقطع-متداول-منذ-عام-2014-على-الأقل،-و/,عاجل : الجيش السوداني ينصب منصات الصواريخ بعيدة المدى الاستراتجية شواظ على تخوم ولاية الجزيرة وسط تقدم لمتحركاته على جميع المحاور.*,,['https://www.youtube.com/watch?v=IiVgC_6NKs0']
هذه الصورة لا تبين توجه شاحنات عسكرية إيرانية نحو سوريا، بل تعود لاحتفالات يوم الجيش في إيران عام 2019,2024-04-12T01:59:53+03:00,زائف,https://fatabyyano.net/هذه-الصورة-لا-تبين-توجه-شاحنات-عسكرية-إ/,عاجل شاحنات إيرانية تعبر الحدود من العراق إلى سوريا حاملة أنواعًا مختلفة من الأسلحة.,"هذه الصورة تعود لاحتفالات بمناسبة يوم الجيش في طهران عام 2019، ولا تبين توجه شاحنات عسكرية إيرانية نحو سوريا
بحسب فرانس 24 – دون تصرف- :توعّدت إيران الثلاثاء 02 أبريل 2024 بـ”معاقبة” إسرائيل على الهجوم الذي استهدف القنصلية الإيرانية في دمشق الإثنين، والذي أسفر عن مقتل 13 شخصاً بينهم سبعة من الحرس الثوري، في عملية غير مسبوقة تزيد التوترات في الشرق الأوسط في خضم الحرب في غزة.
إثر ذلك، تناقل ناشطون على فيسبوك صورة مدعين أنها تظهر شاحنات إيرانية محملة بالصواريخ تعبر الحدود من العراق إلى سوريا،
إلا أن التحري الذي أجراه فريق فتبينوا كشف أن الادعاء غير صحيح،
قاد البحث عن الصورة في محرك جوجل إلى موقع منصة Shutterstock، والتي أرفقت في وصف الصورة أنها تظهر:
 “الاحتفالات بيوم الجيش الوطني في طهران، جمهورية إيران الإسلامية – 18 أبريل 2019″،
بينما بينت المنصة أن الصورة التقطها المصور “Abedin Taherkenareh” لصالح الوكالة الأوروبية للصور الصحفية EPA،
ومن خلال البحث المباشر في موقع وكالة EPA، تبين أنها كانت قد نشرت الصورة رفقة صور أخرى مماثلة في 18 أبريل 2019،
كما أضافت في وصفها أنها تظهر ” شاحنات تابعة للجيش الإيراني تحمل صواريخ تشارك في الاحتفالات بمناسبة يوم الجيش في العاصمة طهران”.
اقرأ أيضًا: هذه الصورة نتاج الذكاء الاصطناعي وليست لطائرة تابعة للخطوط الجوية الإيرانية في سبعينيات القرن الماضي
تقييم فتبينوا: بناء على ما سبق، قررت منصة فتبينوا تصنيف الادعاء على أنه مضلل، لأنه استخدم صورة قديمة في غير سياقها الأصلي من أجل تداول معلومة غير صحيحة.",
هذه الصورة مفبركة وليست لطائرة بدون طيار مغربية الصنع، بل لطائرات تحمل علم سويسرا,2024-04-12T01:59:53+03:00,زائف,https://fatabyyano.net/هذه-الصورة-مفبركة-وليست-لطائرة-بدون-طي/,"#المغرب يُصبح أول بلد مُصنع للطائرات بدون طيار عربيا وفي شمال أفريقيا بعد إجراء أول اختبار ميداني لهذه الطائرة الانتحارية الجديدة بدون طيار والتي تم تجهيز القوات المسلحة الملكية المغربية بها في المغرب مؤخرًا وكانت العملية التجريبية “جد ناجحة.
سير على بركة الله",,[]
هذه الصورة من مناورات البحرية الروسية في بحر البلطيق عام 2018، وليست لأسطول روسي عبر مضيق باب المندب مؤخرًا,2024-04-12T01:59:53+03:00,زائف,https://fatabyyano.net/هذه-الصورة-من-مناورات-البحرية-الروسية/,"#عااااااااااجل
سفن حربية روسية تدخل ‎#البحر_الأحمر


مجموعة من السفن الحربية الروسية من أسطول المحيط الهادئ عبرت مضيق باب المندب ودخلت البحر الأحمر..",,['https://sputnikmediabank.com/media/5596737.html']
هذا الادعاء زائف ولا يمكن القضاء على السرطان بمشروب بيكربونات الصوديوم والسكر,2024-04-12T01:59:53+03:00,زائف,https://fatabyyano.net/لا-يمكن-القضاء-على-السرطان/,بسبب هذا المشروب تخلص من السرطان المرحلة الرابعة!!!!! المنتشرة، وإلا الآن ما زال على قيد الحياة بدون سرطان,,['https://fatabyyano.net/%D9%84%D9%8A%D8%B3-%D9%85%D8%B1%D8%B6-%D8%A7%D9%84%D8%B3%D8%B1%D8%B7%D8%A7%D9%86-%D8%A5%D9%86%D9%85%D8%A7-%D8%B3%D8%A7%D8%A6%D9%84-%D9%85%D9%85%D8%BA%D9%86%D8%B7/']
ادعاءات زائفة وخرافات متداولة عن الأدرينوكروم بأنه يستخرج من دماء الأطفال وأنه يحافظ على شباب الإنسان,2024-04-12T01:59:53+03:00,زائف,https://fatabyyano.net/ادعاءات-زائفة-وخرافات-متداولة-عن-الأد/,"-الأدرينوكروم عقار ماسوني:.(يستخرج من الاطفال بأبشع الطرق)…!!!!!!..


كثر الكلام عن الادرينوكروم، ما هو “الأدرينو كروم”
وماذا يفعل، وكيف يستخرج، إليك الأتي:
يتم تعذيب الطفل و ترهيبه علي يد مؤسسات النخبة
بسبب الصدمة والخوف، يرتفع الأدرينالين في دم الطفل
بزيادة التخويف و الترهيب و التعذيب يتحول الادرينالين إلي ادرينوكروم
ولأنتاج لتر واحد فقط!!!
يلزم بدبح 30 ألف طفل
أما أعضاؤهم فيتم بيعها عبر وكلاءهم
والأدرينو كروم له عدة تأثيرات على دماغ الأنسان فيسبب بلعه الشعور بالنشوة،
ويعطي درجة عالية من الذهنية
ويعتقدون ان شرب هذه المادة، يسمح للشخص الأحتفاظ بشبابه، طبعآ هي أمور شيطانية….وكثير من مشاهير هوليووود مدمنين بهذه المادة بحقنها في الغدة الصنوبرية مباشرة
تجارة الأدرينوكروم تبلغ أرباحها السنوية حوالي 38 مليار دولار
من ضمن القائمة المتورطة في هذه التجارة
“مؤسسة كلينتون” بتوجيه الأموال عبر
Elon Musk
وغيرها من الشركات لتعزيز التجارب السرية على الأطفال لحصاد الأدرينوكروم
يوجد إنفاق تحت الأرض “بأنتراكتيكا”
وأيضاً ” نيوزلندا” التي تعتبر قلعة  الأتجار بالبشر، والأعضاء البشرية، والدماء لأستخراج الأدرينوكروم
وأيضاً في قاعدة ” فورد هود العسكرية”
بتكساس…الولايات المتحدة
هؤلاء يعبدون الشيطان….يخطفون الأطفال
يشربون دماءهم…ويأكلون لحومهم
و جزيرة ابستين مساحتها لا تتعدى 84 فدان تعتبر مركز انتاج الادرينوكروم في العالم و هذه هي اهم جزء في قضية ابستين حديث الساعة الان في امريكا التي يشترك فيها بيل كلينتون و زوجته ، بيل جيتس و زوجته ميليندا ، ترامب و ابستين
Adrenochrome , the devil immortality drug",,[]
